Stock,Spy,Ticker,Sector,Group,#
http://real-chart.finance.yahoo.com/table.csv?s=SNI&d=8&e=19&f=2014&g=d&a=5&b=25&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=19&f=2014&g=d&a=5&b=25&c=2014&ignore=.csv,SNI,Consumer Discretionary,2,#
http://real-chart.finance.yahoo.com/table.csv?s=TSCO&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,TSCO,Consumer Discretionary,2,#
http://real-chart.finance.yahoo.com/table.csv?s=UA&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=5&f=2014&g=d&a=5&b=11&c=2014&ignore=.csv,UA,Consumer Discretionary,2,#
http://real-chart.finance.yahoo.com/table.csv?s=BRK-B&d=8&e=15&f=2014&g=d&a=5&b=19&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=15&f=2014&g=d&a=5&b=19&c=2014&ignore=.csv,BRK/B,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=SCHW&d=7&e=27&f=2014&g=d&a=5&b=3&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=27&f=2014&g=d&a=5&b=3&c=2014&ignore=.csv,SCHW,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=GGP&d=8&e=9&f=2014&g=d&a=5&b=13&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=9&f=2014&g=d&a=5&b=13&c=2014&ignore=.csv,GGP,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=HCP&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=17&f=2014&g=d&a=5&b=23&c=2014&ignore=.csv,HCP,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=HST&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=12&f=2014&g=d&a=5&b=18&c=2014&ignore=.csv,HST,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=KIM&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,KIM,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=RF&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=3&f=2014&g=d&a=5&b=9&c=2014&ignore=.csv,RF,Financials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=GLW&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,GLW,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=DAL&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=4&f=2014&g=d&a=5&b=10&c=2014&ignore=.csv,DAL,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=DOV&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,DOV,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=ETN&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,ETN,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=FAST&d=7&e=22&f=2014&g=d&a=4&b=29&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=22&f=2014&g=d&a=4&b=29&c=2014&ignore=.csv,FAST,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=GE&d=7&e=29&f=2014&g=d&a=5&b=5&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=29&f=2014&g=d&a=5&b=5&c=2014&ignore=.csv,GE,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=GWW&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=7&e=28&f=2014&g=d&a=5&b=4&c=2014&ignore=.csv,GWW,Industrials,2,#
http://real-chart.finance.yahoo.com/table.csv?s=ITW&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,http://real-chart.finance.yahoo.com/table.csv?s=SPY&d=8&e=10&f=2014&g=d&a=5&b=16&c=2014&ignore=.csv,ITW,Industrials,2,#
